forcing,member,scenario,variable,dataset_id,dataset_name,version,size_bytes,file_count,first_year,last_year,rights,public,restricted,resource_doi
ukesm1-0-ll,r1i1p1f2,ssp126,tasmax,d3ce370b-251f-4191-974b-9fa3c92f068c,ukesm1-0-ll_r1i1p1f2_w5e5_ssp126_tasmax_global_daily,20210512,17834835498,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ukesm1-0-ll,r1i1p1f2,ssp126,tasmin,95aad1d0-0787-4669-80ce-2bc03530d359,ukesm1-0-ll_r1i1p1f2_w5e5_ssp126_tasmin_global_daily,20210512,17911299152,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ukesm1-0-ll,r1i1p1f2,ssp370,pr,92deba84-0382-45b8-b370-ef35ab564517,ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_pr_global_daily,20210512,18441019331,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ukesm1-0-ll,r1i1p1f2,ssp370,tas,fce39d22-a04f-4dc0-8d99-251a76613128,ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_tas_global_daily,20210512,17724599812,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ukesm1-0-ll,r1i1p1f2,ssp370,tasmax,be7816eb-8a10-43ef-81ed-fe47365f14b1,ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_tasmax_global_daily,20210512,17833674508,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ukesm1-0-ll,r1i1p1f2,ssp370,tasmin,f41ac767-dadb-43cb-b972-c36e64e78b65,ukesm1-0-ll_r1i1p1f2_w5e5_ssp370_tasmin_global_daily,20210512,17900100323,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ukesm1-0-ll,r1i1p1f2,ssp585,pr,58ad6c99-4a70-467a-bde2-6647ced7e45e,ukesm1-0-ll_r1i1p1f2_w5e5_ssp585_pr_global_daily,20210512,18511247466,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ukesm1-0-ll,r1i1p1f2,ssp585,tas,55a8610a-8fa3-4578-a510-c98732870e08,ukesm1-0-ll_r1i1p1f2_w5e5_ssp585_tas_global_daily,20210512,17725378798,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ukesm1-0-ll,r1i1p1f2,ssp585,tasmax,9a00c319-5265-4b8f-82bd-ab7318ee8d7d,ukesm1-0-ll_r1i1p1f2_w5e5_ssp585_tasmax_global_daily,20210512,17835085029,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ukesm1-0-ll,r1i1p1f2,ssp585,tasmin,18c96ebd-e661-45b6-b506-5eee777637af,ukesm1-0-ll_r1i1p1f2_w5e5_ssp585_tasmin_global_daily,20210512,17897318477,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
