esm,scenario,center_year,rows,rho|tmean_c|log_precip,rho|tmean_c|wet_logit,rho|tmean_c|cdd_logit,rho|tmean_c|rx5_share_logit,rho|tmean_c|rx1_given_rx5_logit,rho|tmean_c|stage_alr1,rho|tmean_c|stage_alr2,rho|log_precip|wet_logit,rho|log_precip|cdd_logit,rho|log_precip|rx5_share_logit,rho|log_precip|rx1_given_rx5_logit,rho|log_precip|stage_alr1,rho|log_precip|stage_alr2,rho|wet_logit|cdd_logit,rho|wet_logit|rx5_share_logit,rho|wet_logit|rx1_given_rx5_logit,rho|wet_logit|stage_alr1,rho|wet_logit|stage_alr2,rho|cdd_logit|rx5_share_logit,rho|cdd_logit|rx1_given_rx5_logit,rho|cdd_logit|stage_alr1,rho|cdd_logit|stage_alr2,rho|rx5_share_logit|rx1_given_rx5_logit,rho|rx5_share_logit|stage_alr1,rho|rx5_share_logit|stage_alr2,rho|rx1_given_rx5_logit|stage_alr1,rho|rx1_given_rx5_logit|stage_alr2,rho|stage_alr1|stage_alr2
IPSL-CM6A-LR,ssp370,2047,7676,-0.237327060875063,-0.121302615589462,0.266842342978163,0.453901204170772,0.197949146874053,0.205110840527015,0.140464556740436,0.900049004047775,-0.924205627503795,-0.819799994532425,-0.321605802338148,0.0101465234803465,0.204902580918775,-0.912162058774441,-0.791029916732298,-0.429881643753441,0.0630442741656489,0.305030493039062,0.900753396062622,0.253570113802372,0.0540790416427127,-0.224634700256122,0.29176420499028,-0.00641368217847474,-0.210196360342906,-0.301917446393857,-0.287900363962771,0.657864223396592
IPSL-CM6A-LR,ssp370,2048,7676,-0.237970887947083,-0.120973960377909,0.264938278679204,0.457435921758398,0.211752960810505,0.213066999210148,0.158886635494096,0.901213196382655,-0.922947485620085,-0.816066927492881,-0.340374919298383,-0.00134658058266628,0.187033137901748,-0.912696882193488,-0.787565857278631,-0.443315007656447,0.0484955207581586,0.285317279957176,0.898659551585012,0.268569862111236,0.0673663777764533,-0.206344277046829,0.314185880473794,0.0111890032085412,-0.18513255666612,-0.316604403599881,-0.284954689623322,0.665056697895092
IPSL-CM6A-LR,ssp370,2049,7676,-0.239964261594572,-0.127182679923761,0.272602691862476,0.462809640569261,0.216781234887179,0.217247476271894,0.169944441271146,0.901503396223647,-0.921396735898061,-0.812441232584554,-0.323668505621828,-0.00830615966648628,0.168297017308556,-0.910224185037896,-0.784446132309271,-0.43346492561541,0.0372693212911975,0.263088551543851,0.896497660319994,0.252680693315399,0.0786913184202639,-0.18795952744272,0.29649175790964,0.0154422240227878,-0.171554859846717,-0.300040652068171,-0.250893508413786,0.667316653586443
IPSL-CM6A-LR,ssp585,2042,7676,-0.250782712994892,-0.12973979739489,0.269310671766035,0.440606570041254,0.188558456798078,0.190345643777763,0.160203509016854,0.904378313377693,-0.925243628278444,-0.844669793268604,-0.307024315856433,0.018551068471922,0.11627001951062,-0.915539111512897,-0.814273000153708,-0.393652209726081,0.0774116318556186,0.21029143035474,0.916350808481332,0.225044801977393,0.042096520943386,-0.145172183252905,0.312785185716353,-0.0391884167846179,-0.149994033651528,-0.381743999895559,-0.270350568563442,0.659802048200971
IPSL-CM6A-LR,ssp585,2043,7676,-0.250484498218464,-0.129089136129015,0.265995681054225,0.440791333379655,0.184218193192266,0.192786822909113,0.15798222940457,0.905116241958148,-0.923936849947181,-0.846269118081196,-0.316132477707579,0.014481543811109,0.124920606172801,-0.91720804743208,-0.817042309162205,-0.402549019519723,0.0760862154964422,0.222699202358487,0.915897824367337,0.23815900313422,0.0496010480479156,-0.159802921960526,0.330413313881719,-0.0337531945562113,-0.164365801171867,-0.384761454160729,-0.272290042865738,0.655178892204922
IPSL-CM6A-LR,ssp585,2044,7676,-0.251430174269957,-0.128247387259275,0.266658524688771,0.443489749032755,0.17387316564111,0.187067812851653,0.155501670581705,0.903920274487073,-0.922520011061946,-0.841148812622613,-0.310442377584803,0.0196674889296855,0.13852100473764,-0.916568238538888,-0.813255881681539,-0.394062749350789,0.0841998684814678,0.237635770266146,0.912526842171421,0.227858745567716,0.038515814098105,-0.176541382719543,0.316919137100845,-0.0481706311782353,-0.177001436270634,-0.380595943936429,-0.277260153961956,0.64931923328516
IPSL-CM6A-LR,ssp585,2045,7676,-0.251494620901172,-0.126940564037437,0.263347408644873,0.444781435360954,0.168109275357131,0.200290493182336,0.165441879312085,0.902842603520628,-0.922781143575445,-0.839433523011758,-0.303803275216411,0.0247170979198088,0.136927997247332,-0.915382459959907,-0.809810500883693,-0.396511523654364,0.0910397569797462,0.237532371471701,0.910917340994135,0.221073708214564,0.0333688589176337,-0.175144462735219,0.318949939785979,-0.0513672229379063,-0.177277431908371,-0.387584792719609,-0.267161638549291,0.65346344642451
IPSL-CM6A-LR,ssp585,2046,7676,-0.246907561889839,-0.122933989746224,0.263533107895395,0.446937205374944,0.158882394938255,0.197664470080657,0.162688878294675,0.902025527795998,-0.922621550393628,-0.831183597512185,-0.301310354427237,0.0257053492238609,0.135943899960377,-0.915901764065807,-0.803849188867645,-0.393506222496789,0.0925934478038859,0.242619324808115,0.907099137675483,0.217166029701798,0.0350375649777003,-0.176973820840581,0.310867533007544,-0.0515878763881029,-0.177876331109349,-0.389273048191453,-0.269821913777551,0.642661206474448
IPSL-CM6A-LR,ssp585,2047,7676,-0.24998905489499,-0.125107908327125,0.268839551087662,0.449972912443031,0.158947069335032,0.194536509959212,0.138196361999105,0.902110801200056,-0.92346263941274,-0.834668214217695,-0.304089359893965,0.0309666053903487,0.164064305134776,-0.913050453543506,-0.804871944592449,-0.400200107859232,0.0913828895530693,0.263786465324288,0.910171373627663,0.215461861111518,0.0346710951845819,-0.20114433488493,0.302048700042558,-0.0468513806419992,-0.20417181133549,-0.384996801953161,-0.276355589539509,0.638489462557872
IPSL-CM6A-LR,ssp585,2048,7676,-0.251434913419114,-0.125447457154849,0.268018462743551,0.44848679207849,0.174640035385909,0.213169132974419,0.167132194382199,0.902365003006404,-0.923664348725539,-0.835234708946554,-0.324848847906313,0.00326928378210663,0.132773824153816,-0.914181205372566,-0.805386507386493,-0.417096324076066,0.0636454553618969,0.229182754540921,0.910593529048328,0.234549206011972,0.0618171217651914,-0.168774679703718,0.316559105319982,-0.0188523868215973,-0.170224867119402,-0.359859956546519,-0.246432203751654,0.641270749915376
IPSL-CM6A-LR,ssp585,2049,7676,-0.254348552663751,-0.128686296484052,0.271232409904975,0.452673335938997,0.151972075507438,0.207019597718547,0.155432697219647,0.903433106558789,-0.924866675181836,-0.836354097721983,-0.306886479538243,0.00722858959174176,0.14316526309483,-0.915853228295256,-0.804604445884868,-0.39607476006896,0.0606204736913112,0.237007927097347,0.911125724311181,0.210436583420562,0.0626374499057627,-0.175546900190278,0.282475743174799,-0.0129016985085394,-0.176049669519803,-0.368742737457294,-0.260682885509013,0.632659578020759
MPI-ESM1-2-HR,ssp126,2042,7676,-0.269844066798743,-0.224548764001853,0.318601730767206,0.472484114379237,0.289744737239469,0.223223893777131,0.143374839446591,0.921647939198235,-0.930019921542084,-0.87393852335585,-0.292865348820263,-0.0476705588958841,0.125169688604541,-0.920588915296197,-0.852767356720146,-0.408886016911526,0.00903072373233122,0.222163940246168,0.920625176138462,0.24831463518291,0.153975626744312,-0.112247980375672,0.322662254023213,0.0391628829554923,-0.162830332357321,-0.278427811400855,-0.28255051680911,0.700607109492507
MPI-ESM1-2-HR,ssp126,2043,7676,-0.269631836332529,-0.221311814389997,0.320085199824851,0.472199992729634,0.279038376090613,0.219852717949871,0.158672067791444,0.921590594024552,-0.930928925236085,-0.874284847008294,-0.304242327641046,-0.0607770948573882,0.108806552058478,-0.919503322946119,-0.851013967840464,-0.419149480849873,-0.0067305129669853,0.208449152877667,0.924337874072848,0.258604862265125,0.165512374804401,-0.094507434868297,0.325776544194204,0.0579265526821017,-0.141581428533962,-0.276155816481101,-0.298677104472744,0.707818740642143
