holdout_type,holdout_id,feature_family,selected_lambda,n_test_values,rmse,benchmark_rmse,rmse_ratio_to_cell_mean,negative_prediction_count,above_one_prediction_count
whole_scenario,ssp126,rx5day_mm,100.0,58310,27.35988963991907,27.986484044647867,0.9776108208616285,0,0
whole_scenario,ssp126,stage1_precip_share,100.0,58310,0.18355851061892034,0.18371742137982824,0.9991350261738142,0,0
whole_scenario,ssp126,stage2_precip_share,100.0,58310,0.17986453223531096,0.17955352534797728,1.0017321123978544,0,0
whole_scenario,ssp126,stage3_precip_share,100.0,58310,0.152631532940493,0.15325298359110354,0.9959449360394272,0,0
whole_scenario,ssp126,precipitation_timing_centroid,100.0,58310,0.09518532362488204,0.09558466366368829,0.9958221327198334,0,0
whole_scenario,ssp126,precipitation_concentration_hhi,100.0,58310,0.11819562632380196,0.11829949317676818,0.9991220008625817,0,0
whole_scenario,ssp370,tmean_c,10.0,58310,0.8459600104247547,2.277817971912397,0.37139052411396534,0,0
whole_scenario,ssp370,precip_mm,100.0,58310,90.53887663670903,93.14784723819301,0.9719910799998153,0,0
whole_scenario,ssp370,wet_days_n,100.0,58310,7.409447912140942,8.00876598872544,0.9251672383200852,0,0
whole_scenario,ssp370,cdd_max_days,100.0,58310,15.667567817734495,15.914172528440142,0.9845040821151749,0,0
whole_scenario,ssp370,rx1day_mm,100.0,58310,15.973458850654977,16.325978828233275,0.9784074216139085,0,0
whole_scenario,ssp370,rx5day_mm,100.0,58310,30.45798246138468,31.07171005416787,0.9802480265259534,0,0
whole_scenario,ssp370,stage1_precip_share,100.0,58310,0.18605304575261958,0.18711002714995148,0.9943510168138406,0,0
whole_scenario,ssp370,stage2_precip_share,100.0,58310,0.1783812246258189,0.1786517991585215,0.998485464271969,0,0
whole_scenario,ssp370,stage3_precip_share,100.0,58310,0.1567185354406529,0.1574076455963831,0.9956221303411323,1,0
whole_scenario,ssp370,precipitation_timing_centroid,100.0,58310,0.09815290989140128,0.09874876813024588,0.9939659172450771,0,0
whole_scenario,ssp370,precipitation_concentration_hhi,100.0,58310,0.11944344440083449,0.11946105118297806,0.9998526148734737,0,0
whole_scenario,ssp585,tmean_c,10.0,58310,0.8847333116867424,3.24699926245122,0.27247721362857374,0,0
whole_scenario,ssp585,precip_mm,100.0,58310,94.41867917491071,97.49160664780763,0.9684800817366976,1,0
whole_scenario,ssp585,wet_days_n,100.0,58310,7.500352019832607,8.279203174287249,0.9059267977776506,0,0
whole_scenario,ssp585,cdd_max_days,100.0,58310,16.022057574964794,16.40516335191599,0.976647243996723,0,0
whole_scenario,ssp585,rx1day_mm,100.0,58310,15.99189020143765,16.464342809222963,0.9713044964345219,0,0
whole_scenario,ssp585,rx5day_mm,100.0,58310,30.428377606180202,31.17475408327668,0.9760583042579039,0,0
whole_scenario,ssp585,stage1_precip_share,100.0,58310,0.1857668489328711,0.18753025533947526,0.9905966831676736,4,0
whole_scenario,ssp585,stage2_precip_share,100.0,58310,0.18124675354691108,0.18060519302592468,1.0035522816937734,0,0
whole_scenario,ssp585,stage3_precip_share,100.0,58310,0.1568882350403129,0.15769518687676498,0.9948828378821563,28,0
whole_scenario,ssp585,precipitation_timing_centroid,100.0,58310,0.09755936418804165,0.09864005008200699,0.9890441469457194,0,0
whole_scenario,ssp585,precipitation_concentration_hhi,100.0,58310,0.12170966102171914,0.12173620504748082,0.9997819545487611,0,0
