"scenario","dr_label","prtp","eta","trial","scc_2020usd_per_tco2"
"baseline","2.0%",0.0019745879362491614,1.244458999,57,114.66750102636334
"baseline","2.0%",0.0019745879362491614,1.244458999,58,94.32018805183188
"baseline","2.0%",0.0019745879362491614,1.244458999,59,370.6258613362424
"baseline","2.0%",0.0019745879362491614,1.244458999,60,429.3310071965377
"baseline","2.0%",0.0019745879362491614,1.244458999,61,180.89803050900542
"baseline","2.0%",0.0019745879362491614,1.244458999,62,74.34443488776648
"baseline","2.0%",0.0019745879362491614,1.244458999,63,260.7977246325583
"baseline","2.0%",0.0019745879362491614,1.244458999,64,158.7391546500601
"baseline","2.0%",0.0019745879362491614,1.244458999,65,16.878125736522954
"baseline","2.0%",0.0019745879362491614,1.244458999,66,85.1586418704767
"baseline","2.0%",0.0019745879362491614,1.244458999,67,215.19237058765168
"baseline","2.0%",0.0019745879362491614,1.244458999,68,999.6224948818193
"baseline","2.0%",0.0019745879362491614,1.244458999,69,99.16975407407986
"baseline","2.0%",0.0019745879362491614,1.244458999,70,156.83316500470912
"baseline","2.0%",0.0019745879362491614,1.244458999,71,94.81812775556378
"baseline","2.0%",0.0019745879362491614,1.244458999,72,471.10677573379314
"baseline","2.0%",0.0019745879362491614,1.244458999,73,226.2329146348798
"baseline","2.0%",0.0019745879362491614,1.244458999,74,79.50723959686944
"baseline","2.0%",0.0019745879362491614,1.244458999,75,202.91580590676875
"baseline","2.0%",0.0019745879362491614,1.244458999,76,164.50979349419433
"baseline","2.0%",0.0019745879362491614,1.244458999,77,238.86713247185588
"baseline","2.0%",0.0019745879362491614,1.244458999,78,127.55278079038871
"baseline","2.0%",0.0019745879362491614,1.244458999,79,235.02845984113094
"baseline","2.0%",0.0019745879362491614,1.244458999,80,155.74165065029774
"baseline","2.0%",0.0019745879362491614,1.244458999,81,99.66162889146543
"baseline","2.0%",0.0019745879362491614,1.244458999,82,169.7180091362925
"baseline","2.0%",0.0019745879362491614,1.244458999,83,109.08409685291213
"baseline","2.0%",0.0019745879362491614,1.244458999,84,144.83970828850644
"baseline","2.0%",0.0019745879362491614,1.244458999,85,437.0456325706176
"baseline","2.0%",0.0019745879362491614,1.244458999,86,463.8456078814385
"baseline","2.0%",0.0019745879362491614,1.244458999,87,197.38487701004817
"baseline","2.0%",0.0019745879362491614,1.244458999,88,112.7751101656877
"baseline","2.0%",0.0019745879362491614,1.244458999,89,216.40199605213414
"baseline","2.0%",0.0019745879362491614,1.244458999,90,6.475182259474183
"baseline","2.0%",0.0019745879362491614,1.244458999,91,91.68363719733789
"baseline","2.0%",0.0019745879362491614,1.244458999,92,161.3058860720078
"baseline","2.0%",0.0019745879362491614,1.244458999,93,279.51594266827493
"baseline","2.0%",0.0019745879362491614,1.244458999,94,174.99523329383328
"baseline","2.0%",0.0019745879362491614,1.244458999,95,151.05351550922143
"baseline","2.0%",0.0019745879362491614,1.244458999,96,222.31670128490785
"baseline","2.0%",0.0019745879362491614,1.244458999,97,29.369950619722044
"baseline","2.0%",0.0019745879362491614,1.244458999,98,201.409308000997
"baseline","2.0%",0.0019745879362491614,1.244458999,99,383.61867816594884
"baseline","2.0%",0.0019745879362491614,1.244458999,100,87.94340478175722
"baseline","3.0%",0.007732453194507549,1.567899391,1,109.86314538870343
"baseline","3.0%",0.007732453194507549,1.567899391,2,149.7268921282515
"baseline","3.0%",0.007732453194507549,1.567899391,3,49.53201188648241
"baseline","3.0%",0.007732453194507549,1.567899391,4,62.57039989082917
"baseline","3.0%",0.007732453194507549,1.567899391,5,129.509530261721
"baseline","3.0%",0.007732453194507549,1.567899391,6,89.58211913182237
"baseline","3.0%",0.007732453194507549,1.567899391,7,30.344762308236565
"baseline","3.0%",0.007732453194507549,1.567899391,8,275.7853970655443
"baseline","3.0%",0.007732453194507549,1.567899391,9,52.52349394902407
"baseline","3.0%",0.007732453194507549,1.567899391,10,16.575571693552963
"baseline","3.0%",0.007732453194507549,1.567899391,11,263.9182582984964
"baseline","3.0%",0.007732453194507549,1.567899391,12,76.61684259892097
"baseline","3.0%",0.007732453194507549,1.567899391,13,55.237267949654836
"baseline","3.0%",0.007732453194507549,1.567899391,14,29.89789536952465
"baseline","3.0%",0.007732453194507549,1.567899391,15,4.982791512545006
"baseline","3.0%",0.007732453194507549,1.567899391,16,49.172930157180694
"baseline","3.0%",0.007732453194507549,1.567899391,17,16.140012539865584
"baseline","3.0%",0.007732453194507549,1.567899391,18,147.46636138740752
"baseline","3.0%",0.007732453194507549,1.567899391,19,56.591944790340854
"baseline","3.0%",0.007732453194507549,1.567899391,20,114.17908692034136
"baseline","3.0%",0.007732453194507549,1.567899391,21,156.0223129580563
"baseline","3.0%",0.007732453194507549,1.567899391,22,18.817723326270063
"baseline","3.0%",0.007732453194507549,1.567899391,23,14.855498627561087
"baseline","3.0%",0.007732453194507549,1.567899391,24,188.59334741285645
"baseline","3.0%",0.007732453194507549,1.567899391,25,64.756753803214
"baseline","3.0%",0.007732453194507549,1.567899391,26,1.5873336090387542
"baseline","3.0%",0.007732453194507549,1.567899391,27,73.79052967722852
"baseline","3.0%",0.007732453194507549,1.567899391,28,51.24676963397691
"baseline","3.0%",0.007732453194507549,1.567899391,29,98.64568085766791
"baseline","3.0%",0.007732453194507549,1.567899391,30,30.399735423797726
"baseline","3.0%",0.007732453194507549,1.567899391,31,30.139430945158168
"baseline","3.0%",0.007732453194507549,1.567899391,32,87.7307830931072
"baseline","3.0%",0.007732453194507549,1.567899391,33,56.17124802656128
"baseline","3.0%",0.007732453194507549,1.567899391,34,30.48773809360059
"baseline","3.0%",0.007732453194507549,1.567899391,35,92.32186188796207
"baseline","3.0%",0.007732453194507549,1.567899391,36,32.73657026416088
